iter	Logloss
0	0.6526297433
1	0.6171648996
2	0.585690918
3	0.55895738
4	0.5343479353
5	0.5126860352
6	0.4936148856
7	0.4770329241
8	0.4619415109
9	0.4494709124
10	0.4377717634
11	0.4277483259
12	0.4185778111
13	0.4102733677
14	0.4030488281
15	0.3966499721
16	0.3907844587
17	0.3856973354
18	0.3813394252
19	0.3774519741
20	0.3740797642
21	0.3708603167
22	0.3680382952
23	0.3657171456
24	0.36352982
25	0.3615429688
26	0.3598416922
27	0.3581288365
28	0.3567487095
29	0.3554195731
30	0.3542435128
31	0.3532437919
32	0.352356829
33	0.3515419224
34	0.350760498
35	0.3500433175
36	0.3494266881
37	0.3488598982
38	0.3483420061
39	0.3478714425
40	0.3474495675
41	0.3470508859
42	0.3466997768
43	0.3464414062
44	0.3461741769
45	0.3459208984
46	0.3456779436
47	0.3454551479
48	0.3452638811
49	0.3451106306
50	0.3449942801
51	0.3448372977
52	0.3447425363
53	0.3445605469
54	0.3444504743
55	0.3443351004
56	0.3442728795
57	0.3441491002
58	0.3440833566
59	0.3440329241
60	0.3438805455
61	0.3438295898
62	0.3437617536
63	0.3436578892
64	0.3435837054
65	0.3435385045
66	0.3435030343
67	0.3434680525
68	0.3434471261
69	0.3434326869
70	0.3434149693
71	0.343382673
72	0.3433401925
73	0.3433113839
74	0.3432699498
75	0.3432472098
76	0.3432149833
77	0.3431732701
78	0.3431498326
79	0.3431121652
80	0.3430810547
81	0.3430288086
82	0.3429565778
83	0.3429251535
84	0.3429080985
85	0.3428553292
86	0.3428374023
87	0.3428329729
88	0.3428136161
89	0.3427853655
90	0.3427070313
91	0.3426913365
92	0.3426679339
93	0.3426022949
94	0.3425760324
95	0.3425730329
96	0.3425568499
97	0.3425184152
98	0.3424948382
99	0.3424943499
100	0.3424635184
101	0.3424614607
102	0.3424337681
103	0.3424047154
104	0.3423376116
105	0.3423263114
106	0.3422672294
107	0.3422524414
108	0.3422479422
109	0.3422364328
110	0.3421645857
111	0.3421502511
112	0.3421215123
113	0.3420981445
114	0.3420800781
115	0.3420794503
116	0.3420224609
117	0.3420095564
118	0.3420094169
119	0.3419019252
120	0.3418654436
121	0.3418423549
122	0.3418309849
123	0.3418016881
124	0.3417922015
125	0.3417515346
126	0.3417167271
127	0.3416969169
128	0.3416602958
129	0.3416604353
130	0.341659668
131	0.3415898438
132	0.3415752651
133	0.3415615234
134	0.3415476423
135	0.3415115792
136	0.3415115095
137	0.3414816197
138	0.3414612514
139	0.3414584263
140	0.3414431501
141	0.3414158412
142	0.3413948103
143	0.3413950544
144	0.3413831613
145	0.3413640485
146	0.3413624442
147	0.3413037109
148	0.3412912598
149	0.3412689732
150	0.341255685
151	0.3412528599
152	0.3412034738
153	0.3411977888
154	0.341194894
155	0.3411777693
156	0.3411613072
157	0.3411431362
158	0.3411409738
159	0.3410831822
160	0.3410830776
161	0.3410326102
162	0.3410106027
163	0.3409912109
164	0.3409808175
165	0.3409464634
166	0.3409219099
167	0.3408767787
168	0.3408747559
169	0.3408259277
170	0.3408259277
171	0.3408115932
172	0.340780971
173	0.3407589983
174	0.3407293527
175	0.3407297712
176	0.3406640276
177	0.3406373117
178	0.3406056431
179	0.3405686384
180	0.3405455845
181	0.3405350865
182	0.3404816197
183	0.3404358956
184	0.3404160156
185	0.3403652344
186	0.3403356585
187	0.3402825056
188	0.3402543945
189	0.3402415597
190	0.3402177037
191	0.3402178432
192	0.3401954869
193	0.3401846401
194	0.3401370675
195	0.3401042829
196	0.3400931222
197	0.3400475028
198	0.3400266462
199	0.3400133231
200	0.3399787249
201	0.3399430804
202	0.3399131906
203	0.3398726283
204	0.3398478655
205	0.3398178013
206	0.3397840751
207	0.3397368513
208	0.3397014858
209	0.3396734096
210	0.3396300223
211	0.339607387
212	0.3395496652
213	0.3394831543
214	0.3394583915
215	0.3394533343
216	0.3393964146
217	0.3393663504
218	0.3393039202
219	0.3392578125
220	0.3392238421
221	0.3391898717
222	0.3391713518
223	0.3390735561
224	0.339023577
225	0.3389797015
226	0.3389438825
227	0.3389202706
228	0.3388767439
229	0.3388493652
230	0.3387795759
231	0.3387596261
232	0.3387257952
233	0.3386670271
234	0.3386455427
235	0.338612514
236	0.3385347028
237	0.3384917341
238	0.3384558105
239	0.3384408482
240	0.3384317104
241	0.3384160156
242	0.338357108
243	0.3383039551
244	0.3382829241
245	0.3382410366
246	0.3382125767
247	0.3381646205
248	0.3381365095
249	0.3381149902
250	0.3380871233
251	0.3380375977
252	0.3379646345
253	0.3379489746
254	0.3379248744
255	0.3379117606
256	0.3378828474
257	0.3378480399
258	0.3378345075
259	0.3378186035
260	0.3377589286
261	0.3377438616
262	0.337710519
263	0.3376677595
264	0.3376297084
265	0.3375747419
266	0.3375302037
267	0.3375039411
268	0.3374557757
269	0.3374310128
270	0.337386928
271	0.3373311942
272	0.3373071289
273	0.3372722517
274	0.3372349679
275	0.3372239816
276	0.3372041364
277	0.3371868025
278	0.3371756766
279	0.3371486468
280	0.3370868443
281	0.3370708705
282	0.3370488979
283	0.3370135324
284	0.3369785505
285	0.336948591
286	0.3369199219
287	0.3369045759
288	0.3368753488
289	0.3368484235
290	0.3368244978
291	0.3368057687
292	0.3367859235
293	0.3367683105
294	0.3367496164
295	0.3367333636
296	0.3366778041
297	0.336651995
298	0.3366291155
299	0.3366022949
