iter	Passed	Remaining
0	1	558
1	3	508
2	4	484
3	6	465
4	8	475
5	9	469
6	11	471
7	12	472
8	14	470
9	15	462
10	17	465
11	19	464
12	21	468
13	22	469
14	24	470
15	26	468
16	28	472
17	30	472
18	31	468
19	33	468
20	34	463
21	36	464
22	38	462
23	39	456
24	41	455
25	43	455
26	44	453
27	46	452
28	48	448
29	49	447
30	51	446
31	53	443
32	54	440
33	55	436
34	57	437
35	59	437
36	61	436
37	63	435
38	64	434
39	66	432
40	68	432
41	70	430
42	71	428
43	73	426
44	74	424
45	76	424
46	78	422
47	80	421
48	81	419
49	83	418
50	84	414
51	86	414
52	88	410
53	89	409
54	91	408
55	93	406
56	94	403
57	96	402
58	98	400
59	99	398
60	101	397
61	102	395
62	104	393
63	106	392
64	108	390
65	109	389
66	111	387
67	112	385
68	114	382
69	115	379
70	117	378
71	119	377
72	120	375
73	122	374
74	124	372
75	125	370
76	127	369
77	129	367
78	131	366
79	133	365
80	135	365
81	136	364
82	138	362
83	140	361
84	142	359
85	143	358
86	145	356
87	147	354
88	148	353
89	150	351
90	152	350
91	154	348
92	155	347
93	157	345
94	159	343
95	160	341
96	162	340
97	164	338
98	166	337
99	167	335
100	169	334
101	171	332
102	172	330
103	174	329
104	176	327
105	177	325
106	179	324
107	181	322
108	183	321
109	184	319
110	186	317
111	188	316
112	190	314
113	191	313
114	193	311
115	195	309
116	196	307
117	198	306
118	199	303
119	201	302
120	203	300
121	204	299
122	206	297
123	208	295
124	210	294
125	212	292
126	213	291
127	215	289
128	217	288
129	218	285
130	219	283
131	221	282
132	223	280
133	225	278
134	226	277
135	228	275
136	229	273
137	231	271
138	233	270
139	234	268
140	236	266
141	238	265
142	240	263
143	241	261
144	243	259
145	244	258
146	246	256
147	247	254
148	249	252
149	251	251
150	252	249
151	254	247
152	256	246
153	258	244
154	259	242
155	261	241
156	263	239
157	264	237
158	266	235
159	267	234
160	269	232
161	270	230
162	272	229
163	274	227
164	276	225
165	277	224
166	279	222
167	281	220
168	282	219
169	284	217
170	285	215
171	287	214
172	289	212
173	291	210
174	292	209
175	294	207
176	296	205
177	297	204
178	299	202
179	301	200
180	303	199
181	304	197
182	306	196
183	308	194
184	310	192
185	311	191
186	313	189
187	315	188
188	317	186
189	319	184
190	320	183
191	322	181
192	323	179
193	325	177
194	327	176
195	329	174
196	331	173
197	332	171
198	334	169
199	336	168
200	337	166
201	339	164
202	341	163
203	343	161
204	344	159
205	346	158
206	348	156
207	350	154
208	352	153
209	353	151
210	355	150
211	357	148
212	359	146
213	361	145
214	362	143
215	364	141
216	366	140
217	368	138
218	369	136
219	371	135
220	373	133
221	375	131
222	377	130
223	379	128
224	381	127
225	382	125
226	384	123
227	386	122
228	388	120
229	390	118
230	392	117
231	394	115
232	396	114
233	398	112
234	400	110
235	402	109
236	404	107
237	406	105
238	408	104
239	409	102
240	411	100
241	413	99
242	415	97
243	417	95
244	419	94
245	420	92
246	422	90
247	424	89
248	426	87
249	428	85
250	430	83
251	431	82
252	433	80
253	435	78
254	437	77
255	439	75
256	441	73
257	442	72
258	444	70
259	446	68
260	448	66
261	450	65
262	451	63
263	453	61
264	455	60
265	457	58
266	459	56
267	461	55
268	462	53
269	464	51
270	466	49
271	468	48
272	470	46
273	472	44
274	474	43
275	475	41
276	477	39
277	479	37
278	481	36
279	482	34
280	484	32
281	486	31
282	488	29
283	490	27
284	492	25
285	493	24
286	495	22
287	497	20
288	499	19
289	501	17
290	503	15
291	504	13
292	506	12
293	508	10
294	510	8
295	512	6
296	514	5
297	515	3
298	517	1
299	519	0
